divTies,awayLosses,seed,ptsForRank,awayWins,confWins,divisionId,defPassYdsRank,offPassYdsRank,seasonIndex,rank,defRushYds,offRushYds,totalLosses,homeLosses,conferenceId,homeWins,ptsFor,teamId,teamOvr,capAvailable,winPct,divisionName,ptsAgainst,divLosses,playoffStatus,conferenceName,awayTies,confLosses,offRushYdsRank,defRushYdsRank,prevRank,confTies,totalTies,tODiff,capRoom,offTotalYds,winLossStreak,divWins,offTotalYdsRank,teamName,homeTies,calendarYear,defTotalYds,stageIndex,netPts,ptsAgainstRank,defTotalYdsRank,capSpent,totalWins,weekIndex,defPassYds,offPassYds
0,6,16,25,2,2,755105798,26,23,0,32,2116,1582,14,8,751960064,1,19,759955482,79,12930000,0.176,NFC South,30,5,0,NFC,0,10,27,30,0,0,0,-11,255400000,4990,252,1,29,Panthers,0,2024,6104,1,-198,32,31,242470000,3,18,3988,3408
0,6,15,28,2,3,755105798,22,22,0,30,2157,1652,13,7,751960064,2,18,759955487,81,26030000,0.235,NFC South,24,5,0,NFC,0,9,22,31,0,0,0,1,255400000,5235,252,1,24,Saints,0,2024,6034,1,-97,25,28,229370000,4,18,3877,3583
0,3,6,9,5,9,755105798,16,4,0,11,1744,1860,7,4,751960064,5,26,759955462,84,23440000,0.588,NFC South,21,2,2,NFC,0,3,17,7,0,0,0,0,255400000,6018,2,4,6,Buccaneers,0,2024,5431,1,88,9,12,231960000,10,18,3687,4158
0,3,3,8,5,7,755105796,28,5,0,10,1869,1459,7,4,751960064,5,26,759955470,84,38370000,0.588,NFC East,25,1,3,NFC,0,5,29,15,0,0,0,5,255400000,5608,1,5,14,Cowboys,0,2024,5930,1,15,27,26,217030000,10,18,4061,4149
0,5,9,16,3,5,755105796,3,16,0,15,1804,2348,8,3,751960064,6,23,759955472,87,41230000,0.529,NFC East,21,3,0,NFC,0,7,2,12,0,0,0,-2,255400000,6048,255,3,5,Eagles,0,2024,5021,1,37,10,3,214170000,9,18,3217,3700
0,4,14,30,4,3,755105796,10,25,0,27,2111,1649,12,8,751960064,1,17,759955475,78,16410000,0.294,NFC East,23,5,0,NFC,0,9,23,29,0,0,0,-8,255400000,5002,2,1,27,Giants,0,2024,5669,1,-114,20,21,238990000,5,18,3558,3353
0,4,8,13,4,7,755105796,5,19,0,12,2067,2344,7,3,751960064,6,24,759955469,82,28220000,0.588,NFC East,22,3,0,NFC,0,5,3,28,0,0,0,-8,255400000,5984,254,3,9,Commanders,0,2024,5404,1,31,12,10,227180000,10,18,3337,3640
0,4,11,10,4,5,755105799,25,10,0,20,1755,2062,9,5,751960064,4,25,759955456,89,68310000,0.471,NFC West,23,3,0,NFC,0,7,7,9,0,0,0,11,255400000,6078,1,3,4,49ers,0,2024,5680,1,23,16,22,187090000,8,18,3925,4016
0,5,13,19,3,6,755105799,24,8,0,22,1930,1433,9,4,751960064,5,22,759955485,81,42080000,0.471,NFC West,22,3,0,NFC,0,6,31,22,0,0,0,4,255400000,5458,1,3,19,Rams,0,2024,5831,1,-11,13,25,213320000,8,18,3901,4025
0,3,4,18,5,6,755105799,6,11,0,14,1959,1766,8,5,751960064,4,22,759955488,83,22350000,0.529,NFC West,22,3,3,NFC,0,6,19,23,0,0,0,-5,255400000,5761,255,3,11,Seahawks,0,2024,5391,1,-7,15,9,233050000,9,18,3432,3995
0,4,12,22,4,5,755105799,11,27,0,21,2057,2095,9,5,751960064,4,21,759955463,81,31590000,0.471,NFC West,24,3,0,NFC,0,7,6,27,0,0,0,-3,255400000,5418,255,3,20,Cardinals,0,2024,5645,1,-47,24,20,223810000,8,18,3588,3323
