teamId,totalWins,defRedZoneFGs,seed,off2PtConv,off2PtConvPct,offPassYds,defRedZonePct,offPtsPerGame,offFumLost,totalLosses,defPassYds,offRushTDs,defRedZones,tODiff,offTotalYds,off4thDownConvPct,penaltyYds,statId,totalTies,off3rdDownConvPct,off3rdDownAtt,off1stDowns,offRedZoneTDs,off2PtAtt,offRushYds,defFumRec,defPtsPerGame,weekIndex,offRedZoneFGs,offTotalYdsGained,defRushYds,tOTakeaways,offSacks,defIntsRec,off4thDownAtt,offIntsLost,off4thDownConv,offRedZones,scheduleId,defForcedFum,defSacks,defRedZoneTDs,offRedZonePct,offPassTDs,defTotalYds,off3rdDownConv,penalties,seasonIndex,stageIndex,tOGiveaways
758644771,1,0,12,0,0,292,42.8571,25.2,0,4,241,1,7,-2,343,100,10,537919493,0,55.5556,9,18,1,0,51,0,30.8,0,2,553,88,0,1,0,1,2,1,6,543031549,0,0,3,50,1,329,5,2,3,1,2
758644742,4,2,5,0,0,241,50,35,0,2,292,2,6,2,329,0,0,537920023,0,83.3333,6,18,3,0,88,0,39.3333,0,0,413,51,2,0,2,0,0,0,7,543031549,0,1,1,42.8571,3,343,5,0,3,1,0
758644766,1,1,13,0,0,299,50,19.6,0,4,347,1,4,2,340,66.6667,0,537920326,0,58.3333,12,19,1,0,41,1,36.6,0,0,447,41,3,1,2,3,1,2,3,543031564,1,2,1,33.3333,2,388,7,0,3,1,1
758644738,0,0,15,0,0,347,33.3333,16.8,1,5,299,1,3,-2,388,0,0,537919780,0,55.5556,9,18,1,0,41,0,22.8,0,1,474,41,1,2,1,1,2,0,4,543031564,0,1,1,50,1,340,5,0,3,1,3
758644763,3,1,9,0,0,150,80,30,1,3,364,0,5,2,216,0,0,537920237,0,36.3636,11,12,1,0,66,1,26.3333,0,0,271,16,3,7,3,0,0,0,4,543031565,1,4,3,25,4,380,4,0,3,1,1
758644751,0,0,14,0,0,364,25,17.6667,0,6,150,0,4,-2,380,50,0,537920314,0,46.1538,13,20,3,0,16,1,35.6667,0,1,495,66,1,4,0,2,3,1,5,543031565,1,7,1,80,3,216,6,0,3,1,3
758644769,4,0,5,0,0,311,100,31.8,1,1,279,3,3,1,445,100,0,537919522,0,63.6364,11,20,2,0,134,1,20.4,0,1,495,41,2,2,1,2,0,2,7,543031569,1,3,3,42.8571,2,320,7,0,3,1,1
758644743,4,1,8,0,0,279,42.8571,36.6667,1,2,311,0,7,-1,320,50,0,537920178,0,50,10,17,3,0,41,1,27.8333,0,0,501,134,1,3,0,2,1,1,3,543031569,1,2,2,100,3,445,5,0,3,1,2
758644762,5,0,3,0,0,307,50,32.1667,0,1,111,1,2,-1,386,50,5,537919798,0,75,8,19,3,0,79,0,23.5,0,0,440,83,1,1,1,2,2,1,7,543031572,0,4,1,42.8571,3,194,6,2,3,1,2
758644767,0,0,15,0,0,111,42.8571,17.2,0,5,307,0,7,1,194,0,0,537920078,0,44.4444,9,13,1,0,83,0,36,0,0,248,79,2,4,2,1,1,0,2,543031572,0,1,3,50,1,386,4,0,3,1,1
758644749,4,1,7,0,0,399,66.6667,36.6667,0,2,343,0,6,-1,416,0,5,537920232,0,50,6,15,1,0,17,0,35.8333,0,1,499,126,0,2,0,0,1,0,5,543031573,0,0,3,40,3,469,3,1,3,1,1
758644739,5,1,1,1,100,343,40,37.1667,0,1,399,0,5,1,469,0,0,537919996,0,66.6667,12,23,3,1,126,0,29,0,1,487,17,1,0,1,2,0,0,6,543031573,0,2,1,66.6667,4,416,8,0,3,1,0
758644737,2,1,12,0,0,177,66.6667,29.6667,1,4,165,0,3,-2,194,0,0,537919537,0,14.2857,7,9,1,0,17,0,34.5,0,0,289,61,1,3,1,1,2,0,2,543031576,0,3,1,50,2,226,1,1,3,1,3
758644750,2,0,11,0,0,165,50,23.5,0,4,177,1,2,2,226,50,0,537920101,0,30.7692,13,13,1,0,61,1,29.5,0,1,332,17,3,3,2,2,1,1,3,543031576,1,3,1,66.6667,1,194,4,0,3,1,1
