team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Falcons,ATL,13,WR,551029859,Timmy Middleton,0,0,3756,83,9,60.10,27,97.78,1,62,7,154,435,5.70,16.11,19.23
Falcons,ATL,13,HB,551029111,Tyrique Thorne,1,0,3970,20,11,85.00,27,97.73,1,32,2,190,362,7.04,13.41,22.50
Falcons,ATL,13,WR,551029827,Evan Smith,2,0,3491,84,8,60.00,22,100.00,0,35,2,122,260,5.55,11.82,32.32
Falcons,ATL,13,HB,551028472,Rashad Burton,2,0,3845,30,12,48.40,25,91.67,2,51,3,180,272,7.20,10.88,17.21
Falcons,ATL,13,TE,551026836,A.J. Barner,3,0,10005,82,5,21.00,5,90.00,1,70,1,74,100,14.80,20.00,4.30
Falcons,ATL,13,WR,551029552,Christian Watson,5,0,2013,9,13,172.80,58,88.17,9,72,9,386,1145,6.66,19.74,91.06
Falcons,ATL,13,WR,551027387,Romeo Doubs,5,0,1471,87,13,141.80,50,95.51,2,64,7,342,759,6.84,15.18,54.59
Falcons,ATL,13,TE,551028777,Colby Parkinson,7,0,504,86,13,92.60,32,92.31,3,75,4,244,439,7.62,13.72,43.76
Falcons,ATL,13,TE,551027369,Will Dissly,9,0,8871,81,5,14.00,7,100.00,0,15,0,57,70,8.14,10.00,9.16
Giants,NYG,15,WR,551029856,Marquez Beckett,0,0,3943,1,10,84.30,31,98.00,1,90,5,247,563,7.97,18.16,35.07
Giants,NYG,15,TE,551027688,Andrew Acosta,1,0,3667,88,2,4.30,2,100.00,0,14,0,9,23,4.50,11.50,1.64
Giants,NYG,15,TE,551027798,Josh Tucker,1,0,4204,3,1,1.40,1,100.00,0,4,0,9,4,9.00,4.00,0.40
Giants,NYG,15,HB,551029138,Marquise Kirkpatrick,1,0,3763,2,2,3.40,2,50.00,2,7,0,7,11,3.50,5.50,0.71
Giants,NYG,15,HB,551027737,Breece Hall,5,4,1747,20,10,176.80,46,97.78,2,68,5,456,747,9.91,16.24,59.21
Giants,NYG,15,HB,551028612,Zack Moss,7,0,474,15,1,1.50,1,100.00,0,5,0,3,5,3.00,5.00,1.00
Giants,NYG,15,WR,551028526,D.K. Metcalf,8,0,9569,14,12,236.80,62,90.61,5,74,17,435,1464,7.02,23.61,112.96
Giants,NYG,15,WR,551028530,Jakobi Meyers,8,0,9570,8,7,35.90,13,100.00,0,40,3,48,166,3.69,12.77,15.67
Giants,NYG,15,WR,551028497,Terry McLaurin,8,0,9567,17,11,57.70,17,76.67,6,48,2,92,287,5.41,16.88,22.10
Giants,NYG,15,TE,551026767,Mark Andrews,9,0,8802,89,12,91.90,57,91.83,5,49,8,216,883,3.79,15.49,66.13
Jaguars,JAX,16,WR,551029851,Andy DuVall,1,0,3380,81,1,1.80,1,100.00,0,8,0,2,8,2.00,8.00,1.33
Jaguars,JAX,16,HB,551027186,David Little,1,0,4207,21,2,2.90,2,100.00,0,4,0,7,3,3.50,1.50,1.19
Jaguars,JAX,16,TE,551028272,DeAndre Adams,1,0,3926,80,4,4.40,4,75.00,1,8,0,14,22,3.50,5.50,3.45
Jaguars,JAX,16,WR,551029839,Eric Campbell,1,0,10354,19,6,37.30,10,83.33,3,55,2,87,153,8.70,15.30,20.64
Jaguars,JAX,16,WR,551029345,Brian Thomas Jr,3,0,10263,83,13,323.20,69,91.30,7,83,27,350,1660,5.07,24.06,130.91
Jaguars,JAX,16,HB,551026695,De'Von Achane,4,0,676,28,12,139.90,33,97.22,1,58,3,378,457,11.45,13.85,34.86
Jaguars,JAX,16,HB,551026742,Tyler Allgeier,5,3,1132,38,1,0.60,2,100.00,0,18,0,18,32,9.00,16.00,4.00
Jaguars,JAX,16,WR,551028042,Justin Jefferson,7,0,385,18,7,57.60,36,94.29,2,60,5,151,602,4.19,16.72,76.50
Jaguars,JAX,16,WR,551027871,Tee Higgins,7,0,351,89,6,34.70,15,94.45,1,62,2,44,239,2.93,15.93,16.54
Jaguars,JAX,16,TE,551027633,Mike Gesicki,9,0,8900,88,6,7.60,9,100.00,0,19,0,46,79,5.11,8.78,6.25
Jaguars,JAX,16,TE,551027847,Hunter Henry,11,0,8046,87,9,36.40,16,100.00,0,36,0,55,204,3.44,12.75,26.58
Jaguars,JAX,16,WR,551027884,Tyreek Hill,11,0,8052,84,6,30.70,20,94.45,1,33,4,113,269,5.65,13.45,33.67
Jets,NYJ,17,WR,551029843,Luke Norman,1,0,3858,7,10,184.70,88,93.51,9,42,13,300,710,3.41,8.07,67.42
Jets,NYJ,17,WR,551029829,Stan Bush,1,0,4089,12,5,10.90,13,100.00,0,27,1,76,152,5.85,11.69,10.97
Jets,NYJ,17,HB,551029126,Will Shipley,3,0,10244,31,1,2.80,2,100.00,0,8,0,15,8,7.50,4.00,1.14
Jets,NYJ,17,HB,551026688,Israel Abanikanda,4,4,361,0,5,19.30,10,100.00,0,13,0,56,69,5.60,6.90,4.65
Jets,NYJ,17,WR,551027385,Jahan Dotson,5,0,4191,81,13,106.00,37,87.82,4,51,4,155,614,4.19,16.59,37.28
Jets,NYJ,17,TE,551028163,Brevin Jordan,6,0,1379,9,7,32.30,20,89.23,3,44,0,108,303,5.40,15.15,13.99
Jets,NYJ,17,WR,551028587,Elijah Moore,6,0,1162,82,8,62.60,22,83.33,3,46,4,124,307,5.64,13.95,37.15
Jets,NYJ,17,TE,551027584,Pat Freiermuth,6,0,1377,89,10,75.80,47,95.24,2,38,1,202,685,4.30,14.57,65.44
Jets,NYJ,17,HB,551027477,Travis Etienne Jr,6,0,1365,1,10,40.40,30,95.50,2,24,1,214,241,7.13,8.03,29.19
Jets,NYJ,17,WR,551026791,Tutu Atwell,6,0,1315,87,5,26.90,20,81.00,4,67,1,131,357,6.55,17.85,26.60
Jets,NYJ,17,TE,551029424,Adam Trautman,7,0,622,84,1,5.10,1,100.00,0,41,0,17,41,17.00,41.00,8.20
Lions,DET,18,TE,551027715,Conrad Flynn,0,0,3384,5,2,0.00,0,0.00,2,0,0,0,0,0.00,0.00,0.00
Lions,DET,18,WR,551029867,Jorvante Campbell,0,3,3651,11,12,180.90,68,95.26,3,75,14,388,1320,5.71,19.41,103.04
Lions,DET,18,WR,551029898,Kenny Lowe,0,0,4067,80,6,10.30,14,94.45,1,47,2,29,153,2.07,10.93,10.23
Lions,DET,18,TE,551028693,Jose Borden,1,0,3347,88,11,74.60,27,88.64,2,97,3,281,656,10.41,24.30,33.49
Lions,DET,18,TE,551029717,Anthony Buckhalter,2,0,3939,83,1,1.80,1,100.00,0,8,0,6,8,6.00,8.00,8.00
Lions,DET,18,WR,551029823,Austin Childress,2,0,3938,81,10,150.40,32,89.17,4,88,13,189,645,5.91,20.16,75.09
Lions,DET,18,HB,551027721,Isaac Guerendo,3,0,10091,26,4,12.30,3,75.00,1,30,0,52,51,17.33,17.00,7.65
Lions,DET,18,WR,551028648,Malik Nabers,3,0,10192,10,6,87.00,24,100.00,0,74,3,139,450,5.79,18.75,76.00
