team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,defTotalCatchAllowed,defTotalDeflections,defTotalForcedFum,defTotalFumRec,defTotalInts,defTotalIntReturnYds,defTotalSacks,defTotalSafeties,defTotalTDs,defTotalTackles
Bengals,CIN,1,FS,551027056,Calen Bullock,3,0,10025,41,13,49.00,17,7,0,0,1,19,0.00,0,0,46.00
Bengals,CIN,1,RE,551028074,Cedric Johnson,3,0,10126,90,8,18.00,0,0,0,0,0,0,2.50,0,0,13.00
Bengals,CIN,1,LOLB,551029775,Curtis Jacobs,3,0,10119,29,5,5.00,0,0,0,0,0,0,0.00,0,0,5.00
Bengals,CIN,1,LE,551028994,Darius Robinson,3,0,10230,91,10,32.00,0,2,2,0,0,0,3.50,0,0,19.00
Bengals,CIN,1,LOLB,551027550,Jaylan Ford,3,0,10075,40,8,10.00,2,1,0,0,0,0,1.00,0,0,8.00
Bengals,CIN,1,DT,551029191,Maason Smith,3,0,10250,94,9,18.00,0,5,0,0,0,0,2.50,0,0,13.00
Bengals,CIN,1,ROLB,551027842,Daiyan Henley,4,5,2186,53,11,36.00,9,12,0,0,0,0,1.50,0,0,33.00
Bengals,CIN,1,ROLB,551028081,DJ Johnson,4,0,2235,42,6,8.00,4,0,0,0,0,0,0.00,0,0,8.00
Bengals,CIN,1,MLB,551028764,Ivan Pace Jr,4,0,2346,0,13,69.00,28,6,0,1,0,0,3.50,0,0,62.00
Bengals,CIN,1,CB,551028974,Kelee Ringo,4,0,2369,22,8,14.00,6,2,0,0,0,0,0.00,0,0,14.00
Bengals,CIN,1,CB,551027876,Daxton Hill,5,0,1766,23,12,39.00,14,5,0,0,2,37,1.00,0,0,31.00
Bengals,CIN,1,SS,551028170,Kerby Joseph,5,0,1792,31,12,48.00,10,11,0,0,0,0,1.00,0,0,46.00
Bengals,CIN,1,LE,551029649,Sam Williams,5,0,2037,54,7,11.00,0,2,0,1,0,0,2.00,0,0,7.00
Bengals,CIN,1,CB,551027119,Michael Carter II,6,0,1348,30,13,40.00,17,7,0,0,0,0,0.00,0,0,40.00
Bengals,CIN,1,DT,551028282,Dexter Lawrence II,8,0,9548,97,7,26.00,0,2,0,0,0,0,3.50,0,0,19.00
Bills,BUF,2,MLB,551029651,Amari Knighton,0,0,3851,47,12,63.00,4,6,1,1,5,370,2.00,0,2,29.00
Bills,BUF,2,CB,551027076,Donovan Williams,0,0,3468,39,8,24.00,8,5,0,0,1,14,0.00,0,0,21.00
Bills,BUF,2,DT,551028408,Duane Devine,0,0,4076,92,4,9.00,0,0,0,0,0,0,2.50,0,0,4.00
