team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
Packers,GB,19,HB,551028375,Raekwon Ellington,2,0,3858,15,4,0.00,0,6,0,0,0,0,0,0,0.00,0.00,0.00
Packers,GB,19,QB,551027283,Jayden Daniels,3,0,10048,5,12,66.06,47,3,3,19,3,0,20,262,1.67,5.57,23.53
Packers,GB,19,WR,551027197,Keon Coleman,3,0,10038,0,8,115.00,2,17,2,7,0,0,-1,6,-0.13,3.00,0.44
Packers,GB,19,WR,551028441,Luke McCaffrey,3,0,10166,12,9,111.20,1,14,2,5,0,0,0,5,0.00,5.00,0.04
Packers,GB,19,HB,551027221,James Cook,5,0,1304,4,12,49.90,59,10,0,75,4,2,129,382,10.75,6.47,43.74
Packers,GB,19,WR,551027871,Tee Higgins,7,0,351,89,1,3.70,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Packers,GB,19,TE,551028237,Dawson Knox,8,0,9546,88,1,4.10,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Packers,GB,19,WR,551027662,Chris Godwin,10,0,8567,89,2,22.40,0,1,1,0,0,0,0,0,0.00,0.00,0.00
Packers,GB,19,TE,551028229,George Kittle,10,0,8622,85,6,11.10,0,15,1,0,0,0,0,0,0.00,0.00,0.00
Panthers,CAR,20,HB,551029223,Dom Jennings,0,0,3400,37,4,28.70,17,0,0,10,4,0,17,47,4.25,2.76,2.45
Panthers,CAR,20,WR,551029885,Manny Luckett,0,0,3769,83,3,-4.00,0,3,2,0,0,0,0,0,0.00,0.00,0.00
Panthers,CAR,20,TE,551028012,Nick Meyer,1,0,3666,80,4,1.30,4,3,0,7,0,0,11,13,2.75,3.25,1.25
Panthers,CAR,20,HB,551027598,Jalen Gilyard,2,0,3410,21,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Panthers,CAR,20,QB,551028677,Bo Nix,3,0,10195,10,11,66.58,26,3,0,27,3,2,34,165,3.09,6.35,10.79
Panthers,CAR,20,WR,551028302,Xavier Legette,3,0,10156,17,2,8.70,0,3,0,0,0,0,0,0,0.00,0.00,1.22
Panthers,CAR,20,WR,551029209,Jaxon Smith-Njigba,4,0,2401,84,1,0.00,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Panthers,CAR,20,WR,551028546,Marvin Mims Jr,4,0,2312,18,4,8.40,0,5,0,0,0,0,0,0,0.00,0.00,0.00
Panthers,CAR,20,TE,551028244,Tucker Kraft,4,0,2279,81,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Panthers,CAR,20,WR,551028519,Bo Melton,5,0,1850,82,2,13.70,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Panthers,CAR,20,HB,551028765,Isiah Pacheco,5,0,1875,44,13,112.60,156,40,1,26,5,1,187,659,14.38,4.22,56.54
Panthers,CAR,20,TE,551028439,Trey McBride,5,6,1830,85,7,80.80,0,13,0,0,0,0,0,0,0.00,0.00,0.00
Panthers,CAR,20,WR,551027754,K.J. Hamler,7,0,739,88,3,-4.00,0,1,2,0,0,0,0,0,0.00,0.00,0.00
Patriots,NE,21,TE,551027245,Jose Short,0,0,3704,81,2,2.90,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Patriots,NE,21,HB,551029707,Ron Thomas,1,0,3926,21,13,104.50,159,25,1,66,8,4,224,802,17.23,5.04,62.93
