id,gameId,league,homeTeam,awayTeam,awayScore,homeScore,isGameOfTheWeek,manual_gotw,seasonIndex,stageIndex,weekIndex,status,simmed,scheduled_date_time,home_team_spread,away_team_spread
3094304,543031368,Magtus,Seahawks,Broncos,27,45,False,False,0,1,0,3,False,,0.0,0.0
3094306,543031370,Magtus,Buccaneers,Commanders,16,38,False,False,0,1,0,3,False,,0.0,0.0
3099697,543031382,Magtus,Jaguars,Browns,20,17,False,False,0,1,1,2,False,,0.0,0.0
3099698,543031383,Magtus,Ravens,Raiders,36,13,False,False,0,1,1,2,False,,0.0,0.0
3099699,543031384,Magtus,Cardinals,Rams,34,9,False,False,0,1,1,2,False,,0.0,0.0
3099688,543031373,Magtus,Dolphins,Bills,41,17,True,False,0,1,1,2,False,,0.0,0.0
3099700,543031385,Magtus,Broncos,Steelers,10,14,False,False,0,1,1,3,False,,0.0,0.0
3099691,543031376,Magtus,Packers,Colts,21,14,False,False,0,1,1,2,False,,0.0,0.0
3099690,543031375,Magtus,Lions,Buccaneers,28,14,False,False,0,1,1,2,False,,0.0,0.0
3099689,543031374,Magtus,Cowboys,Saints,13,17,False,False,0,1,1,3,False,,0.0,0.0
3099703,543031388,Magtus,Eagles,Falcons,22,16,False,False,0,1,1,2,False,,0.0,0.0
3099702,543031387,Magtus,Texans,Bears,18,35,False,False,0,1,1,3,False,,0.0,0.0
3099701,543031386,Magtus,Chiefs,Bengals,33,34,False,False,0,1,1,3,False,,0.0,0.0
3099692,543031377,Magtus,Titans,Jets,31,24,False,False,0,1,1,2,False,,0.0,0.0
3099693,543031378,Magtus,Vikings,49ers,31,14,False,False,0,1,1,2,False,,0.0,0.0
3099694,543031379,Magtus,Patriots,Seahawks,28,26,False,False,0,1,1,2,False,,0.0,0.0
3099695,543031380,Magtus,Commanders,Giants,27,26,False,False,0,1,1,2,False,,0.0,0.0
3099696,543031381,Magtus,Panthers,Chargers,41,27,False,False,0,1,1,2,False,,0.0,0.0
3099704,543031389,Magtus,Jets,Patriots,30,34,True,False,0,1,2,3,False,,0.0,0.0
3099716,543031401,Magtus,Cardinals,Lions,46,40,False,False,0,1,2,2,False,,0.0,0.0
